English Word,Gujarati Translation
hello,નમસ્તે
hi,હાય
good,સારો
morning,સવાર
evening,સાંજ
night,રાત
how,કેવી રીતે
are,છો
you,તમે
i,હું
am,છું
fine,મજામાં
thank,આભાર
you,તમે
please,કૃપા કરીને
sorry,માફ કરો
yes,હાં
no,ના
what,શું
is,છે
your,તમારું
name,નામ
my,મારું
book,પુસ્તક
pen,પેન
school,શાળા
teacher,શિક્ષક
student,વિદ્યાર્થી
home,ઘર
house,મકાન
food,જમવાનું
water,પાણી
tea,ચા
milk,દૂધ
go,જાઓ
come,આવો
sit,બેસો
stand,ઊભા રહો
open,ખોલો
close,બંધ કરો
where,ક્યાં
when,ક્યારે
why,શા માટે
who,કોન
we,અમે
they,તેઓ
he,તે
she,તેમણે
it,આ
this,આ
that,તે
