French ,Tamil 
a,algo
ai,algunas
aie,algunos
aient,ante
aies,antes
ait,como
alors,con
as,contra
au,cual
aucun,cuando
aura,de
aurai,del
auraient,desde
aurais,donde
aurait,durante
auras,hemos
aurez,hube
auriez,ella
aurions,ellas
aurons,ellos
auront,en
aussi,entre
autre,era
aux,erais
avaient,eran
avais,eras
avait,hayamos
avant,hayan
avec,hayas
avez,hayáis
aviez,hubiera
avions,hubierais
avoir,hubieran
avons,hubieras
ayant,estaba
ayez,estabais
ayons,estaban
bon,estabas
car,estad
ce,estada
ceci,estadas
cela,estado
ces,estados
cet,estamos
cette,estando
ceux,estar
chaque,estaremos
ci,estará
comme,estarán
comment,estarás
d,estaré
dans,estaréis
de,estaría
dedans,estaríais
dehors,estaríamos
depuis,estarían
des,estarías
deux,estas
devoir,este
devrait,estemos
devrez,esto
devriez,estos
devrions,estoy
devrons,estuve
devront,estuviera
dois,estuvierais
doit,estuvieran
donc,estuvieras
dos,estuvieron
droite,estuviese
du,estuvieseis
dès,estuviesen
début,estuvieses
dù,estuvimos
elle,estuviste
elles,estuvisteis
en,estuviéramos
encore,estuviésemos
es,estuvo
est,está
et,estábamos
eu,estáis
eue,están
eues,estás
eurent,esté
eus,estéis
eusse,estén
eussent,estés
eusses,fue
eussiez,fuera
eussions,fuerais
eut,fueran
eux,fueras
eûmes,fueron
eût,fuese
eûtes,fueseis
faire,fuesen
fais,fueses
faisez,fui
fait,fuimos
faites,fuiste
fois,fuisteis
font,fuéramos
force,fuésemos
furent,ha
fus,habida
fusse,habidas
fussent,habido
fusses,habidos
fussiez,habiendo
fussions,habremos
fut,habrá
fûmes,habrán
fût,habrás
fûtes,habré
haut,habréis
hors,habría
ici,habríais
il,habríamos
ils,habrían
j,habrías
je,habéis
juste,había
l,habíais
la,habíamos
le,habían
les,habías
leur,mucho
leurs,muchos
lui,muy
là,más
m,mí
ma,mía
maintenant,mías
mais,mío
me,míos
mes,nada
moi,nosotras
moins,nosotros
mon,nuestra
mot,nuestras
même,nuestro
n,nuestros
ne,hubieron
ni,hubiese
nom,hubieseis
nommé,hubiesen
nommée,hubieses
nommés,hubimos
nos,hubiste
notre,hubisteis
nous,hubiéramos
nouveau,hubiésemos
nouveaux,hubo
on,otros
ont,para
ou,pero
où,poco
par,por
parce,porque
parole,que
pas,quien
personne,quienes
personnes,sea
peu,seamos
peut,sean
plupart,seas
pour,seremos
pourquoi,será
qu,serán
quand,serás
que,seré
quel,seréis
quelle,sería
quelles,seríais
quels,seríamos
qui,serían
sa,serías
sans,seáis
se,sido
sera,siendo
serai,sin
seraient,sobre
serais,sois
serait,somos
seras,otras
serez,son
seriez,soy
serions,su
serons,sus
seront,suya
ses,suyas
seulement,suyo
si,suyos
sien,sí
soi,también
soient,qué
sois,éramos
soit,vuestro
sommes,vuestros
son,tanto
sont,te
sous,tendremos
soyez,tendrá
soyons,tendrán
suis,tendrás
sujet,tendré
sur,tendréis
t,tendría
ta,tendríais
tandis,tendríamos
te,tendrían
tellement,tendrías
tels,tened
tes,tenemos
toi,tenga
ton,tengamos
tous,tengan
tout,tengas
trop,tengo
très,tengáis
tu,tenida
un,tenidas
une,tenido
valeur,tenidos
voient,teniendo
vois,tenéis
voit,tenía
vont,teníais
vos,teníamos
votre,tenían
vous,tenías
vu,tuviesen
y,tiene
à,tienen
ça,tienes
étaient,todo
étais,todos
était,tu
étant,tus
état,tuve
étiez,tuviera
étions,tuvierais
été,tuvieran
étés,tuvieras
êtes,tuvieron
être,tuviese
